0,72
1,14
2,81
3,72
4,46
5,70
6,14
7,39
8,19
9,14
10,93
11,15
12,6
13,62
14,64
15,77
16,79
17,94
18,59
19,21
20,77
21,26
22,30
23,23
24,98
25,31
26,70
27,88
28,42
29,46
30,17
31,61
32,90
33,31
34,44
35,58
36,26
37,7
38,56
39,64
40,91
41,69
42,97
43,56
44,83
45,47
46,62
47,51
48,45
49,0
50,55
51,63
52,31
53,76
54,95
55,56
56,20
57,17
58,84
59,88
60,38
61,64
62,30
63,11
64,71
65,70
66,45
67,48
68,42
69,29
70,91
71,90
72,44
73,8
74,65
75,11
76,18
77,6
78,11
79,88
80,60
81,24
82,88
83,68
84,18
85,52
86,70
87,68
88,83
89,57
90,29
91,54
92,45
93,82
94,45
95,66
96,3
97,82
98,61
99,5
0,34
1,34
2,30
3,11
4,31
5,52
6,43
7,22
8,39
9,39
10,54
11,74
12,20
13,91
14,14
15,15
16,46
17,75
18,49
19,13
20,49
21,86
22,70
23,49
24,8
25,20
26,48
27,37
28,10
29,71
30,20
31,70
32,55
33,88
34,80
35,43
36,93
37,86
38,54
39,49
40,84
41,87
42,75
43,20
44,78
45,88
46,75
47,98
48,82
49,53
50,87
51,8
52,87
53,72
54,1
55,56
56,71
57,18
58,17
59,34
60,91
61,51
62,38
63,15
64,3
65,16
66,69
67,6
68,1
69,48
70,60
71,57
72,47
73,55
74,0
75,55
76,98
77,5
78,62
79,56
80,26
81,59
82,66
83,25
84,8
85,4
86,81
87,3
88,15
89,29
90,18
91,81
92,32
93,55
94,15
95,85
96,35
97,80
98,3
99,88
0,87
1,37
2,35
3,6
4,9
5,6
6,94
7,87
8,37
9,41
10,27
11,14
12,17
13,74
14,60
15,72
16,12
17,4
18,65
19,3
20,44
21,45
22,10
23,39
24,24
25,63
26,49
27,29
28,12
29,66
30,18
31,68
32,33
33,72
34,54
35,52
36,52
37,6
38,53
39,6
40,79
41,95
42,55
43,79
44,47
45,4
46,47
47,15
48,52
49,85
50,27
51,95
52,82
53,78
54,41
55,7
56,28
57,68
58,89
59,61
60,99
61,73
62,57
63,18
64,57
65,26
66,70
67,53
68,7
69,76
70,5
71,82
72,82
73,57
74,90
75,96
76,98
77,24
78,70
79,83
80,34
81,28
82,45
83,39
84,27
85,24
86,91
87,81
88,55
89,64
90,81
91,56
92,76
93,76
94,37
95,29
96,55
97,77
98,76
99,62
0,77
1,17
2,79
3,96
4,85
5,59
6,69
7,22
8,88
9,32
10,88
11,17
12,92
13,90
14,98
15,26
16,84
17,48
18,38
19,70
20,77
21,19
22,62
23,95
24,75
25,41
26,87
27,28
28,75
29,74
30,24
31,11
32,84
33,3
34,12
35,60
36,82
37,47
38,92
39,21
40,24
41,30
42,75
43,30
44,69
45,10
46,98
47,28
48,37
49,51
50,18
51,10
52,85
53,26
54,72
55,92
56,54
57,51
58,29
59,50
60,38
61,35
62,46
63,63
64,20
65,19
66,24
67,77
68,25
69,37
70,27
71,32
72,18
73,87
74,98
75,69
76,89
77,17
78,52
79,90
80,71
81,74
82,43
83,5
84,61
85,66
86,21
87,93
88,20
89,51
90,93
91,46
92,0
93,8
94,72
95,91
96,33
97,6
98,99
99,38
0,50
1,83
2,76
3,73
4,38
5,49
6,96
7,2
8,10
9,13
10,43
11,29
12,22
13,97
14,68
15,7
16,45
17,66
18,64
19,82
20,74
21,28
22,12
23,13
24,53
25,60
26,8
27,63
28,64
29,72
30,50
31,96
32,38
33,2
34,5
35,25
36,97
37,32
38,79
39,27
40,41
41,3
42,39
43,96
44,31
45,9
46,59
47,7
48,63
49,93
50,92
51,24
52,73
53,35
54,66
55,30
56,72
57,75
58,21
59,30
60,49
61,21
62,11
63,84
64,19
65,48
66,28
67,24
68,21
69,89
70,69
71,3
72,37
73,36
74,39
75,57
76,15
77,63
78,13
79,4
80,15
81,39
82,81
83,1
84,21
85,62
86,2
87,92
88,67
89,21
90,77
91,4
92,90
93,82
94,27
95,97
96,39
97,22
98,64
99,3
0,54
1,87
2,94
3,54
4,19
5,78
6,68
7,3
8,86
9,87
10,7
11,58
12,54
13,83
14,9
15,60
16,61
17,89
18,98
19,48
20,29
21,55
22,92
23,1
24,87
25,87
26,68
27,83
28,20
29,91
30,23
31,82
32,43
33,44
34,37
35,17
36,86
37,56
38,71
39,62
40,36
41,62
42,94
43,20
44,63
45,54
46,73
47,61
48,14
49,94
50,85
51,67
52,99
53,34
54,14
55,20
56,53
57,96
58,5
59,40
60,21
61,78
62,58
63,15
64,5
65,69
66,93
67,85
68,44
69,21
70,82
71,50
72,54
73,70
74,33
75,74
76,3
77,16
78,82
79,66
80,31
81,11
82,64
83,14
84,56
85,21
86,62
87,33
88,54
89,37
90,30
91,17
92,39
93,31
94,33
95,46
96,65
97,91
98,72
99,14
0,20
1,36
2,75
3,98
4,52
5,23
6,43
7,96
8,88
9,12
10,54
11,0
12,28
13,24
14,16
15,99
16,78
17,16
18,25
19,79
20,61
21,66
22,85
23,91
24,90
25,69
26,55
27,31
28,63
29,24
30,4
31,15
32,79
33,65
34,18
35,55
36,94
37,2
38,88
39,19
40,11
41,34
42,72
43,27
44,3
45,86
46,29
47,46
48,64
49,67
50,73
51,19
52,19
53,95
54,9
55,14
56,17
57,42
58,70
59,54
60,71
61,66
62,7
63,2
64,96
65,27
66,7
67,48
68,40
69,21
70,22
71,20
72,70
73,43
74,65
75,29
76,90
77,37
78,50
79,93
80,50
81,14
82,38
83,25
84,18
85,45
86,45
87,1
88,12
89,1
90,88
91,77
92,7
93,75
94,88
95,63
96,52
97,68
98,25
99,81
0,7
1,7
2,65
3,59
4,64
5,52
6,36
7,18
8,99
9,77
10,53
11,97
12,72
13,15
14,81
15,93
16,61
17,39
18,69
19,85
20,81
21,36
22,90
23,47
24,63
25,48
26,6
27,70
28,69
29,40
30,85
31,51
32,56
33,22
34,8
35,44
36,32
37,2
38,32
39,64
40,67
41,49
42,63
43,82
44,56
45,15
46,12
47,92
48,40
49,45
50,71
51,3
52,76
53,25
54,55
55,69
56,33
57,10
58,62
59,46
60,35
61,57
62,88
63,70
64,32
65,41
66,23
67,64
68,69
69,66
70,2
71,53
72,47
73,59
74,72
75,4
76,92
77,3
78,35
79,93
80,69
81,23
82,6
83,83
84,93
85,4
86,73
87,54
88,69
89,64
90,70
91,53
92,6
93,17
94,71
95,19
96,67
97,35
98,68
99,36
0,1
1,82
2,78
3,10
4,32
5,70
6,42
7,50
8,48
9,16
10,12
11,25
12,74
13,98
14,3
15,90
16,55
17,37
18,89
19,68
20,82
21,37
22,42
23,89
24,43
25,90
26,15
27,50
28,0
29,69
30,54
31,5
32,81
33,95
34,81
35,59
36,44
37,18
38,76
39,40
40,74
41,11
42,25
43,57
44,43
45,22
46,34
47,45
48,12
49,50
50,50
51,37
52,63
53,12
54,37
55,38
56,58
57,37
58,75
59,54
60,7
61,4
62,5
63,4
64,64
65,82
66,78
67,74
68,87
69,86
70,66
71,39
72,17
73,11
74,34
75,0
76,48
77,57
78,43
79,40
80,23
81,54
82,45
83,16
84,29
85,30
86,13
87,6
88,35
89,34
90,21
91,99
92,79
93,39
94,50
95,72
96,16
97,49
98,96
99,32
0,40
1,92
2,41
3,31
4,3
5,89
6,9
7,20
8,72
9,74
10,55
11,15
12,97
13,62
14,41
15,66
16,65
17,77
18,9
19,15
20,25
21,45
22,24
23,22
24,51
25,84
26,23
27,67
28,97
29,87
30,59
31,14
32,78
33,74
34,52
35,2
36,11
37,39
38,98
39,66
40,48
41,23
42,28
43,12
44,52
45,69
46,7
47,2
48,12
49,61
50,65
51,22
52,0
53,77
54,24
55,13
56,84
57,24
58,86
59,82
60,74
61,35
62,55
63,29
64,87
65,0
66,55
67,93
68,30
69,17
70,21
71,56
72,81
73,69
74,86
75,82
76,40
77,30
78,45
79,37
80,61
81,97
82,56
83,83
84,83
85,46
86,96
87,14
88,60
89,3
90,63
91,47
92,49
93,82
94,40
95,20
96,67
97,68
98,39
99,52
0,52
1,81
2,16
3,68
4,37
5,3
6,95
7,73
8,33
9,81
10,4
11,5
12,8
13,43
14,93
15,47
16,20
17,81
18,8
19,77
20,13
21,54
22,44
23,16
24,41
25,51
26,97
27,3
